Accession,Organism,Host,Geo_loc_name
MG280768.1,Blastocystis sp. subtype 8,N/A,N/A
MG280767.1,Blastocystis sp. subtype 8,N/A,N/A
MG280766.1,Blastocystis sp. subtype 8,N/A,N/A
MG280765.1,Blastocystis sp. subtype 8,N/A,N/A
MG280764.1,Blastocystis sp. subtype 8,N/A,N/A
MG280763.1,Blastocystis sp. subtype 8,N/A,N/A
MG280762.1,Blastocystis sp. subtype 8,N/A,N/A
MG280761.1,Blastocystis sp. subtype 5,N/A,N/A
MG280760.1,Blastocystis sp. subtype 5,N/A,N/A
MG280759.1,Blastocystis sp. subtype 5,N/A,N/A
MG280758.1,Blastocystis sp. subtype 5,N/A,N/A
MG280757.1,Blastocystis sp. subtype 5,N/A,N/A
MG280756.1,Blastocystis sp. subtype 5,N/A,N/A
MG280755.1,Blastocystis sp. subtype 5,N/A,N/A
MG280754.1,Blastocystis sp. subtype 5,N/A,N/A
MG280753.1,Blastocystis sp. subtype 5,N/A,N/A
MG280752.1,Blastocystis sp. subtype 5,N/A,N/A
MG280751.1,Blastocystis sp. subtype 5,N/A,N/A
MG280750.1,Blastocystis sp. subtype 5,N/A,N/A
MG280749.1,Blastocystis sp. subtype 5,N/A,N/A
MG280748.1,Blastocystis sp. subtype 5,N/A,N/A
MG280747.1,Blastocystis sp. subtype 5,N/A,N/A
MG280746.1,Blastocystis sp. subtype 4,N/A,N/A
MG280745.1,Blastocystis sp. subtype 4,N/A,N/A
MG280744.1,Blastocystis sp. subtype 3,N/A,N/A
MG280743.1,Blastocystis sp. subtype 3,N/A,N/A
MG280742.1,Blastocystis sp. subtype 3,N/A,N/A
MG280741.1,Blastocystis sp. subtype 3,N/A,N/A
MG280740.1,Blastocystis sp. subtype 2,N/A,N/A
MG280739.1,Blastocystis sp. subtype 2,N/A,N/A
MG280738.1,Blastocystis sp. subtype 2,N/A,N/A
MG280737.1,Blastocystis sp. subtype 2,N/A,N/A
MG280736.1,Blastocystis sp. subtype 2,N/A,N/A
MG280735.1,Blastocystis sp. subtype 2,N/A,N/A
MG280734.1,Blastocystis sp. subtype 2,N/A,N/A
MG280733.1,Blastocystis sp. subtype 2,N/A,N/A
MG280732.1,Blastocystis sp. subtype 2,N/A,N/A
MG280731.1,Blastocystis sp. subtype 2,N/A,N/A
MG280730.1,Blastocystis sp. subtype 2,N/A,N/A
MG280729.1,Blastocystis sp. subtype 1,N/A,N/A
MG280728.1,Blastocystis sp. subtype 1,N/A,N/A
MG280727.1,Blastocystis sp. subtype 1,N/A,N/A
MG280726.1,Blastocystis sp. subtype 1,N/A,N/A
MG280725.1,Blastocystis sp. subtype 1,N/A,N/A
MG280724.1,Blastocystis sp. subtype 1,N/A,N/A
MG280723.1,Blastocystis sp. subtype 1,N/A,N/A
MG280722.1,Blastocystis sp. subtype 1,N/A,N/A
MG280721.1,Blastocystis sp. subtype 1,N/A,N/A
MG280720.1,Blastocystis sp. subtype 1,N/A,N/A
MF540015.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540014.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540013.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540012.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540011.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540010.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540009.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540008.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540007.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540006.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540005.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540004.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540003.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540002.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540001.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF540000.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539999.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539998.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539997.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539996.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539995.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539994.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539993.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539992.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539991.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539990.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539989.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539988.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539987.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539986.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539985.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539984.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539983.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539982.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539981.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539980.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539979.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539978.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539977.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539976.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539975.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539974.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539973.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539972.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539971.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539970.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539969.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539968.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539967.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539966.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539965.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539964.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539963.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF539962.1,Blastocystis sp. subtype 3,Homo sapiens,Mexico: Morelos
MF326289.1,Blastocystis sp.,cattle,China: Shaanxi
MF326288.1,Blastocystis sp.,cattle,China: Shaanxi
MF326287.1,Blastocystis sp.,cattle,China: Shaanxi
MF326286.1,Blastocystis sp.,cattle,China: Shaanxi
MF326285.1,Blastocystis sp.,cattle,China: Shaanxi
MF326284.1,Blastocystis sp.,cattle,China: Shaanxi
MF326283.1,Blastocystis sp.,cattle,China: Shaanxi
MF326282.1,Blastocystis sp.,cattle,China: Shaanxi
MF326281.1,Blastocystis sp.,cattle,China: Shaanxi
MF326280.1,Blastocystis sp.,cattle,China: Shaanxi
MF326279.1,Blastocystis sp.,cattle,China: Shaanxi
MF326278.1,Blastocystis sp.,cattle,China: Shaanxi
MF326277.1,Blastocystis sp.,cattle,China: Shaanxi
MF326276.1,Blastocystis sp.,cattle,China: Shaanxi
KY964546.1,Blastocystis sp. subtype 7,pig,Philippines
KY964545.1,Blastocystis sp. subtype 3,pig,Philippines
KY964544.1,Blastocystis sp. subtype 1,dog,Philippines
KY964543.1,Blastocystis sp.,cockroach,Philippines
KY964542.1,Blastocystis sp. subtype 1,sewage water,Philippines
KY964541.1,Blastocystis sp. subtype 1,sewage water,Philippines
KY964540.1,Blastocystis sp. subtype 1,sewage water,Philippines
KY964539.1,Blastocystis sp. subtype 7,chicken,Philippines
KY964538.1,Blastocystis sp. subtype 7,chicken,Philippines
KY964537.1,Blastocystis sp. subtype 7,chicken,Philippines
KY964536.1,Blastocystis sp. subtype 7,chicken,Philippines
KY964535.1,Blastocystis sp. subtype 7,chicken,Philippines
KY964534.1,Blastocystis sp. subtype 7,chicken,Philippines
KY964533.1,Blastocystis sp. subtype 7,chicken,Philippines
KY964532.1,Blastocystis sp. subtype 7,chicken,Philippines
KY964531.1,Blastocystis sp. subtype 6,chicken,Philippines
KY964530.1,Blastocystis sp. subtype 7,duck,Philippines
KY964529.1,Blastocystis sp. subtype 7,duck,Philippines
KY964528.1,Blastocystis sp. subtype 7,duck,Philippines
KY964527.1,Blastocystis sp. subtype 7,duck,Philippines
KY964526.1,Blastocystis sp. subtype 7,duck,Philippines
KY964525.1,Blastocystis sp. subtype 7,duck,Philippines
KY964524.1,Blastocystis sp. subtype 7,duck,Philippines
KY964523.1,Blastocystis sp. subtype 7,duck,Philippines
KY964522.1,Blastocystis sp. subtype 7,duck,Philippines
KY964521.1,Blastocystis sp. subtype 7,duck,Philippines
KY964520.1,Blastocystis sp. subtype 7,duck,Philippines
KY964519.1,Blastocystis sp. subtype 7,duck,Philippines
KY964518.1,Blastocystis sp. subtype 7,duck,Philippines
KY964517.1,Blastocystis sp. subtype 7,turkey,Philippines
KY964516.1,Blastocystis sp. subtype 6,turkey,Philippines
KY964515.1,Blastocystis sp. subtype 7,turkey,Philippines
KY964514.1,Blastocystis sp. subtype 6,turkey,Philippines
KY964513.1,Blastocystis sp. subtype 6,turkey,Philippines
KY964512.1,Blastocystis sp. subtype 7,turkey,Philippines
KY964511.1,Blastocystis sp. subtype 6,turkey,Philippines
KY964510.1,Blastocystis sp. subtype 7,turkey,Philippines
MG000957.1,Blastocystis sp.,pigs,China
MG000956.1,Blastocystis sp.,pigs,China
MG000955.1,Blastocystis sp.,pigs,China
MG000953.1,Blastocystis sp.,pigs,China
MG000952.1,Blastocystis sp.,pigs,China
MG000951.1,Blastocystis sp.,pigs,China
MG000950.1,Blastocystis sp.,pigs,China
MG000949.1,Blastocystis sp.,pigs,China
MG000948.1,Blastocystis sp.,pigs,China
MG000947.1,Blastocystis sp.,pigs,China
MG000946.1,Blastocystis sp.,pigs,China
MF072960.1,Blastocystis sp. subtype 6,poultry,N/A
MF072959.1,Blastocystis sp. subtype 6,poultry,N/A
MF072958.1,Blastocystis sp. subtype 6,poultry,N/A
MF072957.1,Blastocystis sp. subtype 6,poultry,N/A
MF072956.1,Blastocystis sp. subtype 14,sheep,N/A
MF072955.1,Blastocystis sp. subtype 5,sheep,N/A
MF072954.1,Blastocystis sp. subtype 14,sheep,N/A
MF072953.1,Blastocystis sp. subtype 3,sheep,N/A
MF072952.1,Blastocystis sp. subtype 14,sheep,N/A
MF072949.1,Blastocystis sp. subtype 1,Homo sapiens,N/A
MF072948.1,Blastocystis sp. subtype 3,Homo sapiens,N/A
MF072947.1,Blastocystis sp. subtype 3,Homo sapiens,N/A
MF072946.1,Blastocystis sp. subtype 2,Homo sapiens,N/A
MF072945.1,Blastocystis sp. subtype 1,Homo sapiens,N/A
MF072944.1,Blastocystis sp. subtype 1,Homo sapiens,N/A
MF072943.1,Blastocystis sp. subtype 3,Homo sapiens,N/A
MF072942.1,Blastocystis sp. subtype 3,Homo sapiens,N/A
MG309719.1,Blastocystis sp.,N/A,N/A
KX524055.1,Blastocystis sp.,N/A,N/A
KX524054.1,Blastocystis sp.,N/A,N/A
KX524053.1,Blastocystis sp.,N/A,N/A
KX524052.1,Blastocystis sp.,N/A,N/A
KX524051.1,Blastocystis sp.,N/A,N/A
KX524050.1,Blastocystis sp.,N/A,N/A
KX524049.1,Blastocystis sp.,N/A,N/A
KX524048.1,Blastocystis sp.,N/A,N/A
KX524047.1,Blastocystis sp.,N/A,N/A
KX524046.1,Blastocystis sp.,N/A,N/A
KX524045.1,Blastocystis sp.,N/A,N/A
KX524044.1,Blastocystis sp.,N/A,N/A
KX524043.1,Blastocystis sp.,N/A,N/A
KX524042.1,Blastocystis sp.,N/A,N/A
KX524041.1,Blastocystis sp.,N/A,N/A
KX524040.1,Blastocystis sp.,N/A,N/A
KX524039.1,Blastocystis sp.,N/A,N/A
KX524038.1,Blastocystis sp.,N/A,N/A
KX524037.1,Blastocystis sp.,N/A,N/A
KX524036.1,Blastocystis sp.,N/A,N/A
KX524035.1,Blastocystis sp.,N/A,N/A
KX524034.1,Blastocystis sp.,N/A,N/A
KX524033.1,Blastocystis sp.,N/A,N/A
KX524032.1,Blastocystis sp.,N/A,N/A
KX524031.1,Blastocystis sp.,N/A,N/A
KX524030.1,Blastocystis sp.,N/A,N/A
KX524029.1,Blastocystis sp.,N/A,N/A
KX524028.1,Blastocystis sp.,N/A,N/A
KX524027.1,Blastocystis sp.,N/A,N/A
KX524026.1,Blastocystis sp.,N/A,N/A
KX524025.1,Blastocystis sp.,N/A,N/A
KX524024.1,Blastocystis sp.,N/A,N/A
KX524023.1,Blastocystis sp.,N/A,N/A
KX524022.1,Blastocystis sp.,N/A,N/A
KX524021.1,Blastocystis sp.,N/A,N/A
KX524020.1,Blastocystis sp.,N/A,N/A
KX524019.1,Blastocystis sp.,N/A,N/A
KX524018.1,Blastocystis sp.,N/A,N/A
KX524017.1,Blastocystis sp.,N/A,N/A
KX524016.1,Blastocystis sp.,N/A,N/A
KX524015.1,Blastocystis sp.,N/A,N/A
KX524014.1,Blastocystis sp.,N/A,N/A
KX524013.1,Blastocystis sp.,N/A,N/A
KX524012.1,Blastocystis sp.,N/A,N/A
KX524011.1,Blastocystis sp.,N/A,N/A
KX524010.1,Blastocystis sp.,N/A,N/A
KX524009.1,Blastocystis sp.,N/A,N/A
KX524008.1,Blastocystis sp.,N/A,N/A
KX524007.1,Blastocystis sp.,N/A,N/A
KX524006.1,Blastocystis sp.,N/A,N/A
KX524005.1,Blastocystis sp.,N/A,N/A
KX524004.1,Blastocystis sp.,N/A,N/A
KX524003.1,Blastocystis sp.,N/A,N/A
KX524002.1,Blastocystis sp.,N/A,N/A
KX524001.1,Blastocystis sp.,N/A,N/A
KX524000.1,Blastocystis sp.,N/A,N/A
KX523999.1,Blastocystis sp.,N/A,N/A
KX523998.1,Blastocystis sp.,N/A,N/A
KX523997.1,Blastocystis sp.,N/A,N/A
KX523996.1,Blastocystis sp.,N/A,N/A
KX523995.1,Blastocystis sp.,N/A,N/A
KX523994.1,Blastocystis sp.,N/A,N/A
KX523993.1,Blastocystis sp.,N/A,N/A
KX523992.1,Blastocystis sp.,N/A,N/A
KX523991.1,Blastocystis sp.,N/A,N/A
KX523990.1,Blastocystis sp.,N/A,N/A
KX523989.1,Blastocystis sp.,N/A,N/A
KX523988.1,Blastocystis sp.,N/A,N/A
KX523987.1,Blastocystis sp.,N/A,N/A
KX523986.1,Blastocystis sp.,N/A,N/A
KX523985.1,Blastocystis sp.,N/A,N/A
KX523984.1,Blastocystis sp.,N/A,N/A
KX523983.1,Blastocystis sp.,N/A,N/A
KX523982.1,Blastocystis sp.,N/A,N/A
KX523981.1,Blastocystis sp.,N/A,N/A
KX523980.1,Blastocystis sp.,N/A,N/A
KX523979.1,Blastocystis sp.,N/A,N/A
KX523978.1,Blastocystis sp.,N/A,N/A
KX523977.1,Blastocystis sp.,N/A,N/A
KX523976.1,Blastocystis sp.,N/A,N/A
KX523975.1,Blastocystis sp.,N/A,N/A
KX523974.1,Blastocystis sp.,N/A,N/A
KX523973.1,Blastocystis sp.,N/A,N/A
KX523972.1,Blastocystis sp.,N/A,N/A
MG720858.1,Blastocystis hominis,Homo sapiens,Poland
MG720857.1,Blastocystis hominis,Homo sapiens,Poland
MG720856.1,Blastocystis hominis,Homo sapiens,Poland
MG720855.1,Blastocystis hominis,Homo sapiens,Poland
KU684646.1,Blastocystis hominis,Homo sapiens,Poland
KU684645.1,Blastocystis hominis,Homo sapiens,Poland
KU684644.1,Blastocystis hominis,Homo sapiens,Poland
KU684643.1,Blastocystis hominis,Homo sapiens,Poland
KU684642.1,Blastocystis hominis,Homo sapiens,Poland
MG720557.1,Blastocystis sp.,chicken,India
MG720556.1,Blastocystis sp.,chicken,India
KY438958.1,Blastocystis sp. subtype 2,N/A,N/A
KY438957.1,Blastocystis sp. subtype 2,N/A,N/A
KY438956.1,Blastocystis sp. subtype 2,N/A,N/A
KY438955.1,Blastocystis sp. subtype 2,N/A,N/A
KY438954.1,Blastocystis sp. subtype 2,N/A,N/A
KY438953.1,Blastocystis sp. subtype 2,N/A,N/A
KY438952.1,Blastocystis sp. subtype 2,N/A,N/A
KY438951.1,Blastocystis sp. subtype 2,N/A,N/A
KY438950.1,Blastocystis sp. subtype 2,N/A,N/A
KY438949.1,Blastocystis sp. subtype 2,N/A,N/A
KY438948.1,Blastocystis sp. subtype 2,N/A,N/A
KY438947.1,Blastocystis sp. subtype 3,N/A,N/A
KY438946.1,Blastocystis sp. subtype 3,N/A,N/A
KY438945.1,Blastocystis sp. subtype 3,N/A,N/A
KY438944.1,Blastocystis sp. subtype 1,N/A,N/A
KY438943.1,Blastocystis sp. subtype 1,N/A,N/A
KY438942.1,Blastocystis sp. subtype 8,N/A,N/A
KY438941.1,Blastocystis sp. subtype 8,N/A,N/A
KY438940.1,Blastocystis sp. subtype 8,N/A,N/A
KY438939.1,Blastocystis sp. subtype 8,N/A,N/A
KY438938.1,Blastocystis sp. subtype 8,N/A,N/A
KY438937.1,Blastocystis sp. subtype 8,N/A,N/A
KU939393.1,Blastocystis hominis,N/A,N/A
KU939316.1,Blastocystis hominis,N/A,N/A
KX755873.1,Blastocystis hominis,Homo sapiens (IBDs patient),Iran
KX755872.1,Blastocystis hominis,Homo sapiens (IBDs patient),Iran
KX755871.1,Blastocystis hominis,Homo sapiens (IBDs patient),Iran
KX755870.1,Blastocystis hominis,Homo sapiens (IBDs patient),Iran
KX755869.1,Blastocystis hominis,Homo sapiens (IBDs patient),Iran
KX755868.1,Blastocystis hominis,Homo sapiens (IBDs patient),Iran
KX755867.1,Blastocystis hominis,Homo sapiens (IBDs patient),Iran
KX755866.1,Blastocystis hominis,Homo sapiens (IBDs patient),Iran
KY989574.1,Blastocystis sp. subtype 1,N/A,China: Shaanxi
KY989573.1,Blastocystis sp. subtype 5,N/A,China: Shaanxi
KY989572.1,Blastocystis sp. subtype 5,N/A,China: Shaanxi
KY989571.1,Blastocystis sp. subtype 5,N/A,China: Shaanxi
KY989570.1,Blastocystis sp. subtype 10,N/A,China: Shaanxi
KY989569.1,Blastocystis sp. subtype 3,N/A,China: Shaanxi
KY989568.1,Blastocystis sp. subtype 3,N/A,China: Shaanxi
KY989567.1,Blastocystis sp. subtype 3,N/A,China: Shaanxi
KY989566.1,Blastocystis sp. subtype 3,N/A,China: Shaanxi
KY989565.1,Blastocystis sp. subtype 5,N/A,China: Shaanxi
KY989564.1,Blastocystis sp. subtype 1,N/A,China: Shaanxi
KY989563.1,Blastocystis sp. subtype 1,N/A,China: Shaanxi
KY989562.1,Blastocystis sp. subtype 5,N/A,China: Shaanxi
KY989561.1,Blastocystis sp. subtype 5,N/A,China: Shaanxi
KY989560.1,Blastocystis sp. subtype 5,N/A,China: Shaanxi
KY989559.1,Blastocystis sp. subtype 1,N/A,China: Shaanxi
KX257283.1,Blastocystis sp.,N/A,N/A
KX257282.1,Blastocystis sp.,N/A,N/A
KX257281.1,Blastocystis sp.,N/A,N/A
KX257280.1,Blastocystis sp.,N/A,N/A
KX257279.1,Blastocystis sp.,N/A,N/A
KX257278.1,Blastocystis sp.,N/A,N/A
KX257277.1,Blastocystis sp.,N/A,N/A
KX257276.1,Blastocystis sp.,N/A,N/A
KX257275.1,Blastocystis sp.,N/A,N/A
KX257274.1,Blastocystis sp.,N/A,N/A
KX257273.1,Blastocystis sp.,N/A,N/A
KX257272.1,Blastocystis sp.,N/A,N/A
KX257271.1,Blastocystis sp.,N/A,N/A
KX257270.1,Blastocystis sp.,N/A,N/A
KX257269.1,Blastocystis sp.,N/A,N/A
KX257268.1,Blastocystis sp.,N/A,N/A
KX257267.1,Blastocystis sp.,N/A,N/A
KX257266.1,Blastocystis sp.,N/A,N/A
KY681142.1,Blastocystis sp. subtype 1,Homo sapiens,China
KY681141.1,Blastocystis sp. subtype 1,Homo sapiens,China
KY681140.1,Blastocystis sp. subtype 1,Homo sapiens,China
KY675376.1,Blastocystis hominis,N/A,N/A
KY675375.1,Blastocystis hominis,N/A,N/A
KY675374.1,Blastocystis hominis,N/A,N/A
KY675373.1,Blastocystis hominis,N/A,N/A
KY675372.1,Blastocystis hominis,N/A,N/A
KY675371.1,Blastocystis hominis,N/A,N/A
KY675370.1,Blastocystis hominis,N/A,N/A
KY675369.1,Blastocystis hominis,N/A,N/A
KY675368.1,Blastocystis hominis,N/A,N/A
KY675367.1,Blastocystis hominis,N/A,N/A
KY675366.1,Blastocystis hominis,N/A,N/A
KY675365.1,Blastocystis hominis,N/A,N/A
KY675364.1,Blastocystis hominis,N/A,N/A
KY675363.1,Blastocystis hominis,N/A,N/A
KY675362.1,Blastocystis hominis,N/A,N/A
KY675361.1,Blastocystis hominis,N/A,N/A
KY675360.1,Blastocystis hominis,N/A,N/A
KY675359.1,Blastocystis hominis,N/A,N/A
KY675358.1,Blastocystis hominis,N/A,N/A
KY675357.1,Blastocystis hominis,N/A,N/A
KY675356.1,Blastocystis hominis,N/A,N/A
KY675355.1,Blastocystis hominis,N/A,N/A
KY675354.1,Blastocystis hominis,N/A,N/A
KY675353.1,Blastocystis hominis,N/A,N/A
KY675352.1,Blastocystis hominis,N/A,N/A
KY675351.1,Blastocystis hominis,N/A,N/A
KY675350.1,Blastocystis hominis,N/A,N/A
KY675349.1,Blastocystis hominis,N/A,N/A
KY675348.1,Blastocystis hominis,N/A,N/A
KY675347.1,Blastocystis hominis,N/A,N/A
KY675346.1,Blastocystis hominis,N/A,N/A
KY675345.1,Blastocystis hominis,N/A,N/A
KY675344.1,Blastocystis hominis,N/A,N/A
KY675343.1,Blastocystis hominis,N/A,N/A
KY675342.1,Blastocystis hominis,N/A,N/A
KY675341.1,Blastocystis hominis,N/A,N/A
KY675340.1,Blastocystis hominis,N/A,N/A
KY675339.1,Blastocystis hominis,N/A,N/A
KY675338.1,Blastocystis hominis,N/A,N/A
KY675337.1,Blastocystis hominis,N/A,N/A
KY675336.1,Blastocystis hominis,N/A,N/A
KY675335.1,Blastocystis hominis,N/A,N/A
KY675334.1,Blastocystis hominis,N/A,N/A
KY675333.1,Blastocystis hominis,N/A,N/A
KY675332.1,Blastocystis hominis,N/A,N/A
KY675331.1,Blastocystis hominis,N/A,N/A
KY675330.1,Blastocystis hominis,N/A,N/A
KY675329.1,Blastocystis hominis,N/A,N/A
KY675328.1,Blastocystis hominis,N/A,N/A
KY675327.1,Blastocystis hominis,N/A,N/A
KY675326.1,Blastocystis hominis,N/A,N/A
KY675325.1,Blastocystis hominis,N/A,N/A
KY675324.1,Blastocystis hominis,N/A,N/A
KY675323.1,Blastocystis hominis,N/A,N/A
KY675322.1,Blastocystis hominis,N/A,N/A
KY675321.1,Blastocystis hominis,N/A,N/A
KY675320.1,Blastocystis hominis,N/A,N/A
KX618192.1,Blastocystis sp. subtype 3,Homo sapiens,Singapore
KX963768.1,Blastocystis hominis,N/A,N/A
KX963767.1,Blastocystis hominis,N/A,N/A
KX963766.1,Blastocystis hominis,N/A,N/A
KX963765.1,Blastocystis hominis,N/A,N/A
KX963764.1,Blastocystis hominis,N/A,N/A
KX963763.1,Blastocystis hominis,N/A,N/A
KX963762.1,Blastocystis hominis,N/A,N/A
KX963761.1,Blastocystis hominis,N/A,N/A
KX963760.1,Blastocystis hominis,N/A,N/A
KX963759.1,Blastocystis hominis,N/A,N/A
KX963758.1,Blastocystis hominis,N/A,N/A
KX963757.1,Blastocystis hominis,N/A,N/A
KX963756.1,Blastocystis hominis,N/A,N/A
KX963755.1,Blastocystis hominis,N/A,N/A
KX963754.1,Blastocystis hominis,N/A,N/A
KX963753.1,Blastocystis hominis,N/A,N/A
KX963752.1,Blastocystis hominis,N/A,N/A
KX963751.1,Blastocystis hominis,N/A,N/A
KX963750.1,Blastocystis hominis,N/A,N/A
KX963749.1,Blastocystis hominis,N/A,N/A
KX963748.1,Blastocystis hominis,N/A,N/A
KX963747.1,Blastocystis hominis,N/A,N/A
KX963746.1,Blastocystis hominis,N/A,N/A
KX963745.1,Blastocystis hominis,N/A,N/A
KX963744.1,Blastocystis hominis,N/A,N/A
KX963743.1,Blastocystis hominis,N/A,N/A
KX963742.1,Blastocystis hominis,N/A,N/A
KX963741.1,Blastocystis hominis,N/A,N/A
KX963740.1,Blastocystis hominis,N/A,N/A
KX963739.1,Blastocystis hominis,N/A,N/A
KX963738.1,Blastocystis hominis,N/A,N/A
KX963737.1,Blastocystis hominis,N/A,N/A
KX963736.1,Blastocystis hominis,N/A,N/A
KX963735.1,Blastocystis hominis,N/A,N/A
KX963734.1,Blastocystis hominis,N/A,N/A
KX963733.1,Blastocystis hominis,N/A,N/A
KX963732.1,Blastocystis hominis,N/A,N/A
KX963731.1,Blastocystis hominis,N/A,N/A
KX963730.1,Blastocystis hominis,N/A,N/A
KX963729.1,Blastocystis hominis,N/A,N/A
KX963728.1,Blastocystis hominis,N/A,N/A
KX963727.1,Blastocystis hominis,N/A,N/A
KX963726.1,Blastocystis hominis,N/A,N/A
KX963725.1,Blastocystis hominis,N/A,N/A
KX963724.1,Blastocystis hominis,N/A,N/A
KX963723.1,Blastocystis hominis,N/A,N/A
KX963722.1,Blastocystis hominis,N/A,N/A
KX963721.1,Blastocystis hominis,N/A,N/A
KX963720.1,Blastocystis hominis,N/A,N/A
KX963719.1,Blastocystis hominis,N/A,N/A
KX963718.1,Blastocystis hominis,N/A,N/A
KX963717.1,Blastocystis hominis,N/A,N/A
KX963716.1,Blastocystis hominis,N/A,N/A
KX963715.1,Blastocystis hominis,N/A,N/A
KX963714.1,Blastocystis hominis,N/A,N/A
KX963713.1,Blastocystis hominis,N/A,N/A
KX963712.1,Blastocystis hominis,N/A,N/A
KX963711.1,Blastocystis hominis,N/A,N/A
KX963710.1,Blastocystis hominis,N/A,N/A
KX963709.1,Blastocystis hominis,N/A,N/A
KX963708.1,Blastocystis hominis,N/A,N/A
KX963707.1,Blastocystis hominis,N/A,N/A
KX963706.1,Blastocystis hominis,N/A,N/A
KX963705.1,Blastocystis hominis,N/A,N/A
KX963704.1,Blastocystis hominis,N/A,N/A
KX963703.1,Blastocystis hominis,N/A,N/A
KX963702.1,Blastocystis hominis,N/A,N/A
KX963701.1,Blastocystis hominis,N/A,N/A
KX963700.1,Blastocystis hominis,N/A,N/A
KX963699.1,Blastocystis hominis,N/A,N/A
KX963698.1,Blastocystis hominis,N/A,N/A
KX963697.1,Blastocystis hominis,N/A,N/A
KX963696.1,Blastocystis hominis,N/A,N/A
KX963695.1,Blastocystis hominis,N/A,N/A
KX963694.1,Blastocystis hominis,N/A,N/A
KX963693.1,Blastocystis hominis,N/A,N/A
KX963692.1,Blastocystis hominis,N/A,N/A
KX963691.1,Blastocystis hominis,N/A,N/A
KX963690.1,Blastocystis hominis,N/A,N/A
KX963689.1,Blastocystis hominis,N/A,N/A
